,01.Well Identifier,02.Well Confidential Type,03.Well Name,04.Drilling Contractor BA Id,05.Drill Rig No,06.AER Classification,07.Spud Date,08.Final Drill Date,09.Rig Release Date,10.Plugback Depth,11.Kelly Bushing Elevation,12.Final Total Depth,13.Max True Vertical Depth
0,00/07-25-076-23W5/0,Non Confidential,GUIDEX GVILLEE 7-25-76-23,0Y52,320.0,New Pool Wildcat,2/20/2003 00:00:00,05-Mar-2003,3/13/2003 00:00:00,,555.7,2545.0,
1,00/06-20-078-23W5/0,Non Confidential,LONG RUN CULP 6-20-78-23,0X47,6.0,New Pool Wildcat IEW,5/31/1985 00:00:00,27-Jun-1985,7/4/1985 00:00:00,1988.0,560.9,2430.0,0.0
2,00/05-21-077-23W5/0,Non Confidential,GUIDEX GVILLEE 5-21-77-23,0Y07,33.0,New Pool Wildcat,5/21/2000 00:00:00,05-Jun-2000,6/10/2000 00:00:00,,558.4,2515.0,
3,00/06-13-075-18W5/0,Non Confidential,GULF POC AEC IROQUOIS 6-13-75-18,,,New Fld Wildcat IEW,1/10/1982 00:00:00,09-Feb-1982,,0.0,631.4,2411.0,0.0
4,00/07-09-076-18W5/0,Non Confidential,GULF POC AEC IROQUOIS 7-9-76-18,,,New Fld Wildcat IEW,2/18/1982 00:00:00,12-Mar-1982,,0.0,627.0,2407.0,0.0
5,00/11-04-074-21W5/0,Non Confidential,TERRAQUEST ET AL MCLEANSC 11-4-74-21,0X47,11.0,New Pool Wildcat,12/10/2002 00:00:00,21-Dec-2002,12/24/2002 00:00:00,0.0,638.7,2640.0,0.0
6,00/07-19-061-01W5/0,Non Confidential,ANDERSON ESSO WESTLOCK 7-19-61-1,,,Outpost IEW,12/6/1979 00:00:00,27-Dec-1979,,0.0,640.2,2250.0,0.0
7,00/15-32-080-09W5/0,Non Confidential,BLUESKY FLAME NIPISI 15-32-80-9,878,24.0,Development,2/2/1985 00:00:00,12-Feb-1985,2/15/1985 00:00:00,0.0,642.8,1755.0,0.0
8,00/10-21-070-26W5/0,Non Confidential,GULF AEC LIGNITE 10-21-70-26,0Y45,4.0,Development,12/15/1985 00:00:00,10-Jan-1986,1/14/1986 00:00:00,0.0,638.5,3195.0,0.0
9,00/09-33-080-09W5/0,Non Confidential,SUMMERLAND NIPISI 9-33-80-9,0Y51,2.0,Development,2/25/1986 00:00:00,13-Mar-1986,3/18/1986 00:00:00,,645.1,1805.0,
10,00/01-06-081-09W5/0,Non Confidential,BSRL NIPISI 1-6-81-9,0ZB7,12.0,Development,2/3/1992 00:00:00,12-Feb-1992,2/15/1992 00:00:00,0.0,645.6,1745.0,0.0
11,00/10-14-081-09W5/0,Non Confidential,SUMMERLAND NIPISI 10-14-81-9,,,Development,7/27/1977 00:00:00,10-Aug-1977,,1057.7,646.8,1784.6,0.0
12,00/05-34-080-09W5/0,Non Confidential,SUMMERLAND NIPISI 5-34-80-9,,,Development,7/26/1979 00:00:00,15-Aug-1979,,,647.9,1800.0,
13,00/04-09-079-10W5/0,Non Confidential,DOME ET AL GIFT 4-9-79-10,0Y27,10.0,Development,3/24/1984 00:00:00,05-Apr-1984,,0.0,648.0,1865.0,0.0
14,00/04-17-080-09W5/0,Non Confidential,ARCO NIPISI 4-17-80-9,,,Development,11/17/1969 00:00:00,02-Dec-1969,,,649.5,1768.1,1739.05
15,00/04-28-081-08W5/0,Non Confidential,ARCO NIPISI 4-28-81-8,,,Development,6/27/1967 00:00:00,12-Jul-1967,,0.0,649.5,1809.3,0.0
16,00/06-14-080-09W5/0,Non Confidential,LASMO OPINAC NIPISI 6-14-80-9,0Y27,5.0,Development,3/27/1990 00:00:00,07-Apr-1990,4/11/1990 00:00:00,0.0,649.9,1770.0,0.0
17,00/10-27-080-09W5/0,Non Confidential,AMOCO J-11 NIPISI 10-27-80-9,,,Development,12/10/1969 00:00:00,21-Dec-1969,,0.0,650.1,1722.1,0.0
18,00/01-12-060-21W4/0,Non Confidential,ANDERSON ET AL THORHILD 1-12-60-21,,,New Pool Wildcat IEW,11/3/1980 00:00:00,13-Nov-1980,,0.0,651.6,1492.0,1491.95
19,00/06-06-081-08W5/0,Non Confidential,PETROMK BLUESKY NIPISI 6-6-81-8,,,Development,10/24/1979 00:00:00,14-Nov-1979,,0.0,651.1,1785.0,0.0
20,00/03-15-080-09W5/0,Non Confidential,ELAN ET AL NIPISI 3-15-80-9,0Z04,3.0,Development,10/23/1989 00:00:00,02-Nov-1989,11/8/1989 00:00:00,0.0,651.2,1816.0,0.0
21,00/10-30-080-09W5/0,Non Confidential,BSRL NIPISI 10-30-80-9,0ZB7,12.0,Development,1/4/1992 00:00:00,12-Jan-1992,1/16/1992 00:00:00,0.0,651.4,1720.0,0.0
22,00/09-25-081-09W5/0,Non Confidential,BSRL NIPISI 9-25-81-9,0ZD6,28.0,Development,1/19/1993 00:00:00,29-Jan-1993,2/2/1993 00:00:00,0.0,651.9,1767.0,
23,00/07-30-080-09W5/0,Non Confidential,COGI NIPISI 7-30-80-9,0Y78,5.0,Development,9/21/1986 00:00:00,05-Oct-1986,10/8/1986 00:00:00,0.0,652.2,1776.0,0.0
24,00/14-03-070-21W5/0,Non Confidential,HUSKY ET AL VALLEYVIEW 14-3-70-21,878,28.0,New Fld Wildcat IEW,1/26/1984 00:00:00,22-Feb-1984,,0.0,650.4,2835.0,0.0
25,00/06-16-080-09W5/0,Non Confidential,LASMO ET AL NIPISI 6-16-80-9,0Y27,5.0,Development,3/1/1985 00:00:00,13-Mar-1985,3/16/1985 00:00:00,0.0,653.0,1810.0,0.0
26,00/02-20-081-08W5/0,Non Confidential,BSRL NIPISI 2-20-81-8,0Y78,5.0,Development,7/2/1987 00:00:00,20-Jul-1987,7/26/1987 00:00:00,,653.4,1790.0,
27,00/06-30-080-09W5/0,Non Confidential,COGI NIPISI 6-30-80-9,0X86,10.0,Deeper Pool Test,3/10/1985 00:00:00,22-Mar-1985,3/27/1985 00:00:00,,655.8,1761.0,1760.62
28,00/03-30-080-09W5/0,Non Confidential,CO-ENERCO ARCO NIPISI 3-30-80-9,,,Development,7/11/1970 00:00:00,24-Jul-1970,,0.0,655.0,1752.6,0.0
29,00/02-20-079-07W5/0,Non Confidential,WINCAN ET AL NIPISI 2-20-79-7,0Y52,3.0,Development,2/18/1981 00:00:00,08-Mar-1981,,0.0,656.1,1710.0,0.0
30,00/02-34-078-08W5/0,Non Confidential,AMOCO UNIT 214 NIPISI 2-34-78-8,,,Development,5/24/1980 00:00:00,05-Jun-1980,,0.0,655.6,1753.0,0.0
31,00/04-21-081-08W5/0,Non Confidential,BSRL NIPISI 4-21-81-8,,,Development,7/7/1967 00:00:00,21-Jul-1967,,0.0,658.4,1770.0,
32,00/02-08-079-07W5/0,Non Confidential,Aquisition Oil NIPISI 2-8-79-7,0Z45,1.0,Development,11/22/1982 00:00:00,07-Dec-1982,,0.0,659.0,1734.0,0.0
33,00/02-22-081-08W5/0,Non Confidential,PACIFIC ET AL UTIKUMA 2-22-81-8,,,Development,12/25/1965 00:00:00,19-Jan-1966,,0.0,659.0,1784.6,0.0
34,00/16-07-078-08W5/0,Non Confidential,KELES ET AL NIPISI 16-7-78-8,0Y27,5.0,New Pool Wildcat,12/21/1986 00:00:00,31-Dec-1986,1/3/1987 00:00:00,0.0,659.7,1783.5,0.0
35,00/05-08-069-05W6/0,Non Confidential,GPD NOEL AMOCO GOLD CK 5-8-69-5,,,New Pool Wildcat,9/27/1970 00:00:00,03-Nov-1970,,0.0,660.2,3840.8,0.0
36,00/02-36-080-10W5/0,Non Confidential,BSRL NIPISI 2-36-80-10,0Y52,52.0,Development,11/1/1996 00:00:00,09-Nov-1996,11/12/1996 00:00:00,0.0,661.0,1768.0,0.0
37,00/10-20-080-07W5/0,Non Confidential,MLC ET AL NIPISI 10-20-80-7,0Y27,37.0,Development,1/24/1988 00:00:00,02-Feb-1988,2/5/1988 00:00:00,0.0,661.7,1698.0,0.0
38,00/08-09-073-21W5/0,Non Confidential,ENRON ET AL GUY 8-9-73-21,0Y27,28.0,New Fld Wildcat EGW,3/18/1987 00:00:00,06-Apr-1987,4/10/1987 00:00:00,0.0,661.7,2750.5,0.0
39,00/16-11-081-08W5/0,Non Confidential,ATLANTIC MUSKWA 16-11-81-8,,,New Field Wildcat,9/14/1965 00:00:00,08-Oct-1965,,0.0,662.3,1805.3,0.0
40,00/10-31-080-08W5/0,Non Confidential,LASMO NIPISI 10-31-80-8,,,Development,6/16/1966 00:00:00,29-Jun-1966,,0.0,662.6,1822.4,0.0
41,00/10-08-080-07W5/0,Non Confidential,KIN MERC NIPISI 1 NIPISI 10-8-80-7,0X43,1.0,Development,2/21/1988 00:00:00,02-Mar-1988,3/6/1988 00:00:00,,662.9,1710.0,
42,00/02-30-080-08W5/0,Non Confidential,MOBIL NIPISI 2-30-80-8,,,Development,3/12/1966 00:00:00,29-Mar-1966,,1742.5,663.5,1811.7,0.0
43,00/04-26-080-08W5/0,Non Confidential,PACIFIC ET AL NIPISI 4-26-80-8,,,Development,12/15/1965 00:00:00,05-Jan-1966,,0.0,663.9,1822.7,0.0
44,00/10-16-081-08W5/0,Non Confidential,MLC PANCON NIPISI 10-16-81-8,0Z27,1.0,Development,3/13/1988 00:00:00,21-Mar-1988,3/25/1988 00:00:00,0.0,664.2,1810.0,0.0
45,00/04-08-080-07W5/0,Non Confidential,PANCON ET AL NIPISI 4-8-80-7,,,Development,2/20/1981 00:00:00,06-Mar-1981,,0.0,665.1,1710.0,0.0
46,00/10-25-080-09W5/0,Non Confidential,LASMO IOE NIPISI 10-25-80-9,,,Development,3/24/1966 00:00:00,18-Apr-1966,,0.0,665.4,1824.2,0.0
47,00/02-17-080-07W5/0,Non Confidential,INVERNESS ET AL NIPISI 2-17-80-7,0X47,4.0,Development,1/31/1990 00:00:00,13-Feb-1990,2/17/1990 00:00:00,0.0,666.8,1708.0,0.0
48,00/06-08-078-08W5/0,Non Confidential,RUPERTS ET AL NIPISI 6-8-78-8,,,Development,2/19/1979 00:00:00,05-Mar-1979,,0.0,667.1,1806.0,0.0
49,00/12-30-078-07W5/0,Non Confidential,ELAN ET AL NIPISI 12-30-78-7,0Y57,10.0,Development,12/2/1984 00:00:00,15-Dec-1984,12/18/1984 00:00:00,0.0,667.9,1764.5,0.0
50,00/04-30-080-07W5/0,Non Confidential,MANNVILLE ET AL NIPISI 4-30-80-7,0X47,2.0,Development,12/7/1990 00:00:00,18-Dec-1990,12/21/1990 00:00:00,0.0,668.6,1716.0,0.0
51,00/04-14-078-08W5/0,Non Confidential,SHELL ET AL NIPISI 4-14-78-8,,,Development,8/28/1967 00:00:00,09-Sep-1967,,0.0,669.0,1760.2,0.0
52,00/02-01-078-08W5/0,Non Confidential,UNO-TEX NIPISI 2-1-78-8,,,Development,12/7/1973 00:00:00,22-Dec-1973,,0.0,672.1,1787.7,0.0
53,00/13-20-071-21W5/0,Non Confidential,CHEVRON VALLEYVIEW 13-20-71-21,0D39,10.0,New Fld Wildcat IEW,3/30/1983 00:00:00,30-Apr-1983,,0.0,675.9,2886.0,0.0
54,02/07-18-045-13W4/0,Non Confidential,PCP PCR KILLAM NORTH 7-18-45-13,0Y52,404.0,Deeper Pool Test,12/2/2001 00:00:00,11-Dec-2001,12/14/2001 00:00:00,0.0,679.3,1515.0,0.0
55,00/16-34-068-26W5/0,Non Confidential,GULF AEC STURLS 16-34-68-26,,,New Fld Wildcat IEW,3/31/1982 00:00:00,04-May-1982,,0.0,681.9,3360.0,0.0
56,00/15-25-077-08W5/0,Non Confidential,CNRL NIPISI 15-25-77-8,0X47,2.0,Development,12/28/1990 00:00:00,10-Jan-1991,1/12/1991 00:00:00,0.0,686.9,1802.0,0.0
57,00/05-10-068-26W5/0,Non Confidential,CHEVRON ET AL STURLS 5-10-68-26,,,New Fld Wildcat IEW,1/19/1981 00:00:00,08-Mar-1981,,0.0,688.0,3458.0,0.0
58,00/14-20-068-25W5/0,Non Confidential,STAR AEC STURLS 14-20-68-25,0Y45,7.0,New Fld Wildcat EGW,8/29/1985 00:00:00,25-Sep-1985,10/4/1985 00:00:00,1895.0,686.4,3321.0,0.0
59,00/06-17-068-04W6/0,Non Confidential,764032 ETAL GOLD CK 16-7-68-4,,,New Field Wildcat,1/17/1965 00:00:00,15-Apr-1965,,3179.0,686.7,3847.2,0.0
60,02/06-15-045-15W4/0,Non Confidential,SUNCOR KILLAM NORTH 6-15-45-15,0Y57,7.0,Deeper Pool Test IEW,10/27/1983 00:00:00,11-Nov-1983,,0.0,697.5,1738.0,0.0
61,00/11-08-067-21W5/0,Non Confidential,CO-ENERCO ET AL SMOKY 11-8-67-21,,,New Pool Wildcat IEW,7/2/1979 00:00:00,30-Jul-1979,,0.0,701.3,3074.0,0.0
62,00/02-04-030-21W4/0,Non Confidential,ALTANA ET AL KIRKPAT 2-4-30-21,,,New Pool Wildcat,2/27/1964 00:00:00,30-Mar-1964,,1633.7,702.0,2182.4,0.0
63,00/01-28-057-03W5/0,Non Confidential,CHEVRON MAJEAU 1-28-57-3,,,New Pool Wildcat IEW,10/18/1979 00:00:00,26-Nov-1979,,0.0,703.8,2525.0,0.0
64,00/09-23-042-14W4/0,Non Confidential,KARVE KILLAM 9-23-42-14,0Y16,1.0,Deeper Pool Test IEW,5/19/1983 00:00:00,04-Jun-1983,,967.0,698.4,1421.0,0.0
65,00/06-14-069-20W5/0,Non Confidential,297344 AMOCO SUNSET 6-14-69-20,0X43,5.0,Deeper Pool Test IEW,6/12/1983 00:00:00,11-Jul-1983,,0.0,708.6,2850.0,0.0
66,00/06-11-069-26W5/0,Non Confidential,GULF AEC STURLS 6-11-69-26,0X84,15.0,New Pool Wildcat,7/1/1983 00:00:00,18-Aug-1983,,0.0,702.4,3344.8,0.0
67,00/16-14-068-21W5/0,Non Confidential,NORCEN ET AL STURLS 16-14-68-21,878,22.0,New Fld Wildcat IEW,7/31/1985 00:00:00,29-Aug-1985,9/7/1985 00:00:00,0.0,709.0,3145.0,3144.6
68,00/06-35-046-15W4/0,Non Confidential,MERLAND ET AL BRUCE 6-35-46-15,0X63,2.0,Deeper Pool Test IEW,6/5/1983 00:00:00,27-Jun-1983,,805.0,710.5,2114.0,0.0
69,00/11-11-068-03W6/0,Non Confidential,TRIAD C&E DEBOLT 11-11-68-3,,,New Field Wildcat,7/25/1959 00:00:00,21-Oct-1959,,0.0,714.5,3750.3,0.0
70,00/14-14-056-26W4/0,Non Confidential,ANDERSON ET AL ALEX 14-14-56-26,,,New Pool Wildcat IEW,10/23/1981 00:00:00,02-Nov-1981,,0.0,716.0,1775.0,0.0
71,00/08-23-043-16W4/0,Non Confidential,SCEPTRE ET AL STROME 8-23-43-16,0Y57,7.0,Deeper Pool Test IEW,6/26/1984 00:00:00,13-Jul-1984,7/17/1984 00:00:00,1094.0,728.4,1835.0,0.0
72,00/10-33-065-20W5/0,Non Confidential,PROCYON KAYBOB 10-33-65-20,,,New Pool Wildcat IEW,12/5/1978 00:00:00,19-Jan-1979,,1605.0,741.8,3067.0,
73,00/02-20-051-23W4/0,Non Confidential,ENHANCEENERGY HERCULES 2-20-51-23,,,New Pool Wildcat IEW,3/3/1980 00:00:00,19-Mar-1980,,1643.0,742.9,1857.0,
74,00/11-25-065-23W5/0,Non Confidential,AMOCO N-2 ANTE 11-25-65-23,,,New Pool Wildcat IEW,9/25/1976 00:00:00,29-Oct-1976,,0.0,748.9,3293.4,0.0
75,00/06-36-066-25W5/0,Non Confidential,CDN-SUP ANTE CREEK 6-36-66-25,,,New Pool Wildcat,2/7/1981 00:00:00,17-Mar-1981,,2125.0,748.3,3390.0,0.0
76,00/04-12-069-26W5/0,Non Confidential,GULF STURLS 4-12-69-26,,,New Fld Wildcat IEW,1/15/1982 00:00:00,20-Feb-1982,,0.0,748.0,3373.0,0.0
77,00/02-23-066-25W5/0,Non Confidential,ARC RES ANTE 2-23-66-25,,,New Field Wildcat,8/25/1966 00:00:00,03-Oct-1966,,0.0,753.8,3435.1,0.0
78,00/01-18-067-18W5/0,Non Confidential,GULF UNIT GOOSE RIVER 1-18-67-18,0Z22,4.0,Development,2/3/1995 00:00:00,21-Feb-1995,2/27/1995 00:00:00,0.0,756.4,2881.0,0.0
79,00/03-30-067-26W5/0,Non Confidential,FOREST ET AL ANTE 3-30-67-26,,,New Fld Wildcat IEW,11/27/1980 00:00:00,17-Feb-1981,,2060.0,762.4,3673.0,3672.96
80,00/11-01-061-13W5/0,Non Confidential,MOBIL CARSON CREEK WEST 11-1-61-13,,,New Field Wildcat,12/12/1962 00:00:00,03-Feb-1963,,0.0,762.3,3113.5,0.0
81,00/12-36-064-19W5/0,Non Confidential,HOME ET AL KAYBOB 12-36-64-19,0Y27,23.0,Development,12/31/1986 00:00:00,23-Jan-1987,1/30/1987 00:00:00,2163.0,762.6,3015.0,3014.88
82,00/06-27-057-13W5/0,Non Confidential,HESS ET AL MAHASKA 6-27-57-13,,,New Fld Wildcat IEW,3/1/1979 00:00:00,13-Apr-1979,,0.0,764.1,2892.0,0.0
83,00/04-31-070-19W5/0,Non Confidential,UNO-TEX ET AL BOULDER 4-31-70-19,,,New Fld Wildcat IEW,8/27/1974 00:00:00,14-Sep-1974,,0.0,767.2,2792.0,0.0
84,00/10-23-065-20W5/0,Non Confidential,WESTFIRE KAYBOB 10-23-65-20,,,New Pool Wildcat IEW,12/9/1978 00:00:00,12-Jan-1979,,1743.0,768.1,3074.0,
85,00/12-01-066-25W5/0,Non Confidential,GULF ANTE CREEK 12-1-66-25,0Z17,2.0,Outpost,11/28/1983 00:00:00,30-Dec-1983,,0.0,767.5,3487.0,0.0
86,00/05-22-066-25W5/0,Non Confidential,ULSTER ANTE CREEKK 5-22-66-25,0Y27,32.0,Development,8/11/1983 00:00:00,22-Sep-1983,,0.0,769.8,3460.0,0.0
87,00/10-32-063-21W5/0,Non Confidential,PAN AM TONY CREEK A-1,,,New Field Wildcat,10/26/1956 00:00:00,26-Jan-1957,,0.0,770.5,3272.0,0.0
88,00/16-02-066-25W5/0,Non Confidential,CNW ET AL ANTE CREEK 16-2-66-25,0X63,1.0,Outpost,1/3/1985 00:00:00,13-Feb-1985,2/26/1985 00:00:00,0.0,773.4,3495.0,0.0
89,00/14-23-067-24W5/0,Non Confidential,MURPHY ANTEN 14-23-67-24,0Y45,10.0,New Fld Wildcat IEW,3/15/1984 00:00:00,26-Apr-1984,,0.0,785.5,3337.0,3317.5
90,00/06-30-072-23W5/0,Non Confidential,SUN ET AL STURGEON 6-30-72-23,,,New Pool Wildcat IEW,11/23/1978 00:00:00,28-Dec-1978,,0.0,785.5,3025.0,0.0
91,00/07-27-063-18W5/0,Non Confidential,TRILOGY KAYBOB 7-27-63-18,0XK4,1.0,Deeper Pool Test,6/23/1998 00:00:00,26-Jul-1998,8/1/1998 00:00:00,0.0,787.4,3040.0,3039.64
92,00/16-15-063-19W5/0,Non Confidential,TRILOGY KAYBOB 16-15-63-19,0XK4,1.0,Outpost,6/28/2002 00:00:00,18-Jul-2002,7/22/2002 00:00:00,0.0,782.7,3125.0,0.0
93,00/07-27-066-26W5/0,Non Confidential,HUSKY ANTE CREEK 7-27-66-26,0Y45,10.0,New Pool Wildcat,1/10/1984 00:00:00,23-Feb-1984,,0.0,792.2,3597.0,0.0
94,00/03-22-066-03W6/0,Non Confidential,GULF AEC KARR 3-22-66-3,0X84,21.0,Deeper Pool Test,8/15/1983 00:00:00,26-Oct-1983,,2673.0,785.0,4035.0,0.0
95,00/06-35-070-18W5/0,Non Confidential,LONG RUN SNIPELK 6-35-70-18,0ZC9,6.0,Development,3/4/1993 00:00:00,18-Mar-1993,3/25/1993 00:00:00,0.0,790.3,2665.0,0.0
96,00/11-04-066-26W5/0,Non Confidential,BP ETHYL BASELINE 11-4-66-26,,,New Field Wildcat,1/12/1971 00:00:00,18-Feb-1971,,0.0,795.5,3636.6,0.0
97,00/14-11-039-17W4/0,Non Confidential,MARK RED WILLOW 14-11-39-17,0L82,10.0,New Pool Wildcat EGW,10/24/1987 00:00:00,05-Nov-1987,11/7/1987 00:00:00,0.0,796.3,2025.0,0.0
98,00/10-20-070-16W5/0,Non Confidential,WESTCOAST ET AL MCGOWAN 10-20-70-16,,,New Fld Wildcat IEW,2/23/1982 00:00:00,23-Mar-1982,,0.0,798.3,2619.0,0.0
99,00/08-30-052-05W5/0,Non Confidential,HORSESHOE BAY TOMHK 8-30-52-5,0Z27,1.0,New Pool Wildcat IEW,8/22/1984 00:00:00,17-Sep-1984,9/23/1984 00:00:00,1705.0,804.4,2714.0,
100,00/12-35-063-18W5/0,Non Confidential,TRILOGY ET AL KAYBOB 12-35-63-18,0XK4,1.0,Outpost,10/31/2000 00:00:00,20-Nov-2000,11/28/2000 00:00:00,,805.7,3040.0,
101,00/08-20-038-21W4/0,Non Confidential,HPC OBERLIN 8-20-38-21,,,New Field Wildcat,5/4/1962 00:00:00,27-May-1962,,0.0,808.3,2206.4,0.0
102,00/07-13-065-26W5/0,Non Confidential,CDNOXY ANTE CREEK 7-13-65-26,,,New Fld Wildcat IEW,12/15/1980 00:00:00,01-Feb-1981,,2089.0,810.0,3655.0,0.0
103,00/02-13-061-13W5/0,Non Confidential,MOBIL CARSON 2-13-61-13,0Y52,3.0,Development,4/13/1980 00:00:00,18-May-1980,,0.0,812.1,2670.0,0.0
104,00/07-09-068-18W5/0,Non Confidential,MOBIL GOOSER 7-9-68-18,0Y13,7.0,New Pool Wildcat IEW,1/26/1983 00:00:00,24-Feb-1983,,0.0,811.4,2890.0,0.0
105,00/02-15-067-18W5/0,Non Confidential,GULF UNIT GOOSE RIVER 2-15-67-18,0X84,15.0,Development,12/25/1983 00:00:00,24-Jan-1984,,0.0,815.5,2900.0,0.0
106,00/04-26-066-01W6/0,Non Confidential,CNRL  4-26-66-1,0ZC2,762.0,New Field Wildcat,8/27/1996 00:00:00,17-Oct-1996,10/21/1996 00:00:00,0.0,818.6,3755.0,0.0
107,00/03-32-063-22W5/0,Non Confidential,RAX WASKAHIGAN 3-32-63-22,0Y13,4.0,New Fld Wildcat IEW,7/8/1985 00:00:00,18-Aug-1985,9/2/1985 00:00:00,2035.0,827.4,3450.0,0.0
108,00/09-29-069-17W5/0,Non Confidential,WLEC SNIPELK 9-29-69-17,0Y07,28.0,New Field Wildcat,9/27/2003 00:00:00,14-Oct-2003,10/22/2003 00:00:00,0.0,833.6,2765.0,0.0
109,00/11-24-056-14W5/0,Non Confidential,UNION LL&E SHINING BANK 11-24-56-14,,,New Pool Wildcat,7/2/1971 00:00:00,03-Aug-1971,,0.0,837.0,3058.7,0.0
110,00/04-35-069-19W5/0,Non Confidential,ARMSTRONG ET AL SUNSET 4-35-69-19,,,New Pool Wildcat,4/5/1981 00:00:00,05-May-1981,,0.0,839.1,2860.0,2859.85
111,00/08-33-031-22W4/0,Non Confidential,CANTERRA GHOST PINE 8-33-31-22,0Z17,7.0,Deeper Pool Test,8/11/1989 00:00:00,31-Aug-1989,9/4/1989 00:00:00,0.0,839.3,2398.0,0.0
112,00/06-21-064-25W5/0,Non Confidential,PANCON ET AL SIMONN 6-21-64-25,0ZA3,27.0,New Pool Wildcat,8/2/1990 00:00:00,12-Sep-1990,9/24/1990 00:00:00,0.0,848.4,3707.0,0.0
113,00/04-28-033-23W4/0,Non Confidential,NORWICH TOGL TWIN 4-28-33-23,0X98,6.0,New Pool Wildcat,1/28/1989 00:00:00,20-Feb-1989,2/24/1989 00:00:00,0.0,844.8,2455.0,0.0
114,00/06-06-037-20W4/0,Non Confidential,B.A. RICHARDS STETW 6-6-37-20,,,New Field Wildcat,10/2/1960 00:00:00,05-Nov-1960,,1653.5,845.2,2207.1,0.0
115,00/02-33-033-22W4/0,Non Confidential,B.A. CPR HUXLEY 2-33-33-22,,,New Field Wildcat,3/27/1959 00:00:00,09-May-1959,,0.0,846.7,2374.7,0.0
116,00/12-09-038-21W4/0,Non Confidential,CDNRES ET AL OBERLIN 12-9-38-21,0L82,14.0,Deeper Pool Test IEW,1/18/1984 00:00:00,07-Feb-1984,,0.0,850.6,2370.0,0.0
117,00/04-33-066-16W5/0,Non Confidential,AMOCO ET AL MEEKWAP 4-33-66-16,0.0,7.0,New Pool Wildcat IEW,1/27/1984 00:00:00,27-Feb-1984,,0.0,852.5,3066.0,0.0
118,00/13-20-065-02W6/0,Non Confidential,RIO ALTO 13-20-65-2,0Y55,46.0,New Pool Wildcat,6/5/1996 00:00:00,28-Jul-1996,8/1/1996 00:00:00,0.0,858.0,4006.0,0.0
119,00/03-24-054-16W5/0,Non Confidential,BONAVISTA ET AL ROSEVEAR 3-24-54-16,0Z41,033E,Deeper Pool Test,7/31/2000 00:00:00,09-Sep-2000,9/11/2000 00:00:00,,853.5,3377.0,3355.92
120,00/06-18-054-14W5/0,Non Confidential,CVE CARROT 6-18-54-14,0X68,37,Development,11/21/1980 00:00:00,04-Jan-1981,,0.0,860.7,3346.0,0.0
121,00/11-36-032-20W4/0,Non Confidential,MIC MAC CALSTAN MCKEE 11-36-32-20,,,New Field Wildcat,12/31/1957 00:00:00,20-Feb-1958,,0.0,855.9,2218.9,0.0
